"","study","subject","pipeline","index","fwhm","scheme"
"109","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",20,4.04335795716958,"DSI 258"
"110","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",21,4.0642194457207,"DSI 258"
"111","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",0,4.04377023782254,"DSI 258"
"112","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",1,4.04673874133638,"DSI 258"
"113","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",2,4.05703554488678,"DSI 258"
"114","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",3,4.04383914193604,"DSI 258"
"115","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",4,4.04391417684495,"DSI 258"
"116","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",5,4.05264795868327,"DSI 258"
"117","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",6,4.06649637330574,"DSI 258"
"118","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",7,4.04992355753054,"DSI 258"
"119","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",8,4.03882923583967,"DSI 258"
"120","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",9,4.0643570075538,"DSI 258"
"121","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",10,4.0771211093539,"DSI 258"
"122","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",11,4.06040681840476,"DSI 258"
"123","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",12,4.05725246275097,"DSI 258"
"124","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",13,4.06573958747889,"DSI 258"
"125","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",14,4.05962836142174,"DSI 258"
"126","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",15,4.09780128653898,"DSI 258"
"127","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",16,4.05982622007443,"DSI 258"
"128","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",17,4.07407164062829,"DSI 258"
"129","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",18,4.07754228556212,"DSI 258"
"130","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",19,4.09974637208847,"DSI 258"
"131","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",20,4.09675201740943,"DSI 258"
"132","DSI 258","f230158e6a69f0d79e3c501575931bfae26e42dfc0d1ccc059d858a3da17afe1","Raw",21,4.08066011909612,"DSI 258"
"133","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",0,4.11818327070197,"DSI 258"
"134","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",1,4.09092952445938,"DSI 258"
"135","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",2,4.0752348340049,"DSI 258"
"136","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",3,4.08523552701484,"DSI 258"
"137","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",4,4.09408303264453,"DSI 258"
"138","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",5,4.10102041266157,"DSI 258"
"139","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",6,4.12140774230793,"DSI 258"
"140","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",7,4.1072409251152,"DSI 258"
"141","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",8,4.10846299449763,"DSI 258"
"142","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",9,4.12849903617401,"DSI 258"
"143","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",10,4.12090323174167,"DSI 258"
"144","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",11,4.14150545320643,"DSI 258"
"145","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",12,4.11485539781869,"DSI 258"
"146","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",13,4.12982049105583,"DSI 258"
"147","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",14,4.12841294928551,"DSI 258"
"148","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",15,4.13221084504723,"DSI 258"
"149","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",16,4.11452897857385,"DSI 258"
"150","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",17,4.12763086037816,"DSI 258"
"151","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",18,4.14579656105436,"DSI 258"
"152","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",19,4.16639594026454,"DSI 258"
"153","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",20,4.14245588722618,"DSI 258"
"154","DSI 258","92d9c8349bdabfe0246296a45e297355d856feff04d83ad0464b0850f2e33935","Raw",21,4.16595259018933,"DSI 258"
"155","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",0,4.19796198009917,"DSI 258"
"156","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",1,4.195251159867,"DSI 258"
"157","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",2,4.20200091481644,"DSI 258"
"158","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",3,4.18632888346528,"DSI 258"
"159","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",4,4.18092759314581,"DSI 258"
"160","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",5,4.21606131686987,"DSI 258"
"161","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",6,4.19031247860505,"DSI 258"
"162","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",7,4.17779604656349,"DSI 258"
"163","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",8,4.17438004764407,"DSI 258"
"164","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",9,4.21741464389503,"DSI 258"
"165","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",10,4.21803639102906,"DSI 258"
"166","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",11,4.17612576479833,"DSI 258"
"167","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",12,4.20648135507676,"DSI 258"
"168","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",13,4.19265800372871,"DSI 258"
"169","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",14,4.17858742953645,"DSI 258"
"170","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",15,4.20370575097526,"DSI 258"
"171","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",16,4.18784603473128,"DSI 258"
"172","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",17,4.21465485355567,"DSI 258"
"173","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",18,4.22559158467971,"DSI 258"
