"","subject","qc","fwhm","scheme","pipeline"
"109","8f05041ac26dfad4a90f72f343c49193045693f1e5d7139b3bc310bcccce972a",0.850036,3.84462158398,"MultiShell 113","QSIPrep"
"110","4f3af2aeeaeef41383010a757be6b1f7e731ae8095020c95edf9f3f2a2f4ec43",0.848831,4.02359006496,"MultiShell 113","QSIPrep"
"111","e17d95dfe340d6e0bc3e6f82fe08a3d639a8e618865d58529a37c7067fa6d2b7",0.863751,3.81562921772,"MultiShell 113","QSIPrep"
"112","9a9022a41a5a6a226e7ce98fe17896ee30df8f1890b9dadeb0746fa880c2a674",0.848546,3.67221188908,"MultiShell 113","QSIPrep"
"113","194584e209f3fc458052cfd96cf3005a87dc386e1d36409288f217853a7562f0",0.861482,3.93151530193,"MultiShell 113","QSIPrep"
"114","34c763009fd8176740914cb20f061b4d9035179732a2e947c3b489bfe0d50255",0.852781,4.04934767865,"MultiShell 113","QSIPrep"
"115","4a0cc2374ed0199a2cb68fc4dbcb39ee538771bb048b5062a52bef38db8f53d4",0.850902,4.0237748058,"MultiShell 113","QSIPrep"
"116","32ea05228423f71921610b9cef23e0b19f44d0c51dd1ffb467d08fa6881dd060",0.826325,3.91912230576,"MultiShell 113","QSIPrep"
"117","5b25906ad927b68d19ac46ac17ec472d57869ab76cf42e5a78894b7a3114bf35",0.854678,3.97801764621,"MultiShell 113","QSIPrep"
"118","ed46d110890066850a50245e1daa50655f3b21e833d2722b2c947ad736b68477",0.818545,3.7392701693,"MultiShell 113","QSIPrep"
"119","d1e1b158d29e770c40ef7c7e8ef955a6e5db86fa8a1dd164b36dca313f4a920c",0.858061,3.81816053648,"MultiShell 113","QSIPrep"
"120","c56617f18bde4798a5c311d39871486b385ec10f54da5883d3e9613c693e1336",0.869541,4.09845347195,"MultiShell 113","QSIPrep"
"121","7c47caf4bf71d78384d21bfc19b4de9b3512be30f8439138d010159a65810566",0.85848,3.74957401203,"MultiShell 113","QSIPrep"
"122","de660e9756373a47fcf4c3355069f31e79e9af3e13a4a36fe4c450ed36715c0a",0.825863,3.9824241123,"MultiShell 113","QSIPrep"
